Value,Count,Percent
lung_NSCLC,26619,11.241559011955692
urogenital_system,25163,10.626670777183254
leukemia,20125,8.49905612966709
aero_dig_tract,18583,7.847848946961666
lymphoma,16210,6.845699372020052
lung_SCLC,13212,5.579603954542192
breast,13032,5.503587551891752
nervous_system,12714,5.369291907209312
skin,12456,5.260335063410349
large_intestine,12257,5.176294707146808
digestive_system,10735,4.533533791402545
bone,9460,3.9950842726286053
Unknown,8906,3.7611226778044773
kidney,7840,3.310936648774658
pancreas,7617,3.2167607721577256
neuroblastoma,6931,2.927053815389943
soft_tissue,5008,2.114945247074424
myeloma,4598,1.9417967743706477
thyroid,3579,1.5114594726995536
lung,1746,0.7373591057092541
